Id,Name,Label
21067,Bo Li,CV&DB&DM&NLP&ML&Sys
100774,Hong Cheng,CV&ML&DM
25006,Jeffrey Xu Yu,DB
82078,Yi-Zhou Sun,DM
1764,Dacheng Tao,CV
12169,Ming-Hsuan Yang,CV
83934,Hujun Bao,CV&DB&DM
9896,Gang Wang,CV&NLP&ML&DM
43537,Xiang Ren,DM&Sys
9778,Shuicheng Yan,CV
27421,Dong Wang,CV&DB&DM&NLP&ML
27484,Jiawei Han,DM&DB
17887,Heng Ji,NLP
1629,Philip S. Yu,DM&DB&CV
117847,Jiebo Luo,CV&DM
10667,Thomas S. Huang,CV
7388,ChengXiang Zhai,DM
1628,Charu C. Aggarwal,DM
36705,Chi Wang,DM&CV
447,Qiang Yang,DM&DB
5360,Dong Xu,CV&DB
25330,Wei Zhang,CV&DB&DM&NLP&ML&Sys
8219,Fei Wang,CV&DB&DM&ML&Sys
36554,Jian Pei,DM&NLP
42859,Xifeng Yan,DM&DB
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
82474,Chao Zhang,CV&DM&NLP&ML&Sys
111667,Jiwen Lu,CV
32181,Haixun Wang,DM&DB
19400,Zheng Chen,DM&NLP&ML
