Source,Target
1764,10667
447,17887
1628,25330
9896,40674
7388,43537
27484,36705
1628,10995
447,5241
1629,10995
447,15017
447,29965
15017,36554
1764,8954
447,74437
447,9778
7388,81327
1629,17887
5241,27484
10995,74437
25005,75832
5241,82078
447,42859
5241,27421
7388,74437
7388,82078
447,82474
21067,25005
447,108530
447,43537
32181,100774
9778,21067
8219,12169
1628,15017
447,10995
1764,29965
1628,82474
1628,17884
1629,10667
447,12169
9896,83934
17887,43537
7388,8936
8219,10995
8954,83934
27484,82078
1764,19400
1764,27421
447,100774
27484,40674
5241,8219
447,25330
7388,27484
8936,82078
7388,42859
8936,17887
27484,108530
447,1764
7388,10995
10667,27484
17887,19400
447,27484
1628,17887
19400,36705
8954,12169
447,19400
447,25005
17884,42859
42859,82078
5241,9896
447,21067
447,82078
1628,8219
1628,10667
1628,27484
10995,25330
17884,19400
1628,12169
36554,42859
8936,82474
5241,36705
7388,100774
19400,43537
9896,27421
27421,83766
1764,32181
447,1628
1628,36554
1764,83766
10995,82078
1764,9778
8936,74437
19400,82474
1628,83766
447,1629
447,8936
1629,17884
27484,74437
9896,27484
1629,27484
27484,36554
10995,15017
1628,32181
1764,82078
447,27421
17884,36705
8936,27484
1628,1629
82078,100774
1628,9896
5241,36554
9896,29965
1629,36554
447,83766
8936,17884
5241,32181
9896,21067
5241,21067
1628,43537
1628,36705
5241,75832
17884,74437
1629,8219
1628,19400
17884,27484
8936,19400
1764,12169
5241,12169
1629,42859
19400,82078
447,8219
8219,9896
5241,9778
447,81327
1629,12169
447,32181
8954,27484
10995,32181
1628,42859
5241,42859
447,36705
5241,40674
1628,81327
1764,5241
1764,75832
1628,1764
1628,74437
447,17884
1628,82078
447,10667
9778,9896
447,9896
7388,19400
9896,25005
9896,12169
1629,7388
1628,5241
447,7388
8936,36705
27484,83934
1629,36705
17884,17887
1628,7388
447,36554
1764,82474
1628,8936
17887,36705
7388,108530
1629,82078
1764,21067
10995,100774
10995,27484
10995,17884
5241,10995
1764,8219
1764,9896
1628,100774
1629,1764
5241,25005
9896,82078
1629,15017
