Source,Target
1629,10995
1628,9896
7388,119852
1764,32181
1764,9896
447,82474
1628,19400
7388,74437
1629,17884
7388,17887
17884,119852
19400,43537
9896,75832
7388,82078
5241,42859
28033,82078
1628,8936
27484,43537
447,43537
43644,74437
1628,5241
82078,100774
447,74437
28033,42859
10995,17884
1628,119852
17887,19400
8936,74437
447,1628
1629,36705
27484,36554
7388,43537
7388,100774
27484,83934
7388,17884
8936,19400
9896,83934
19400,36705
1764,21067
5241,9896
1764,10667
1628,28033
447,10995
1628,27484
5241,10995
447,36554
447,17884
17884,17887
447,9896
1628,36554
447,5241
447,7388
1628,10667
447,9778
447,17887
1628,100774
1764,75832
1764,82474
1629,82078
1628,82078
8936,17887
1629,8936
17884,19400
1628,82474
1764,9778
42859,82078
1764,19400
7388,36705
10667,27484
17884,42859
1629,1764
7388,27484
1629,42859
447,119852
1629,74437
36554,42859
447,100774
8936,43644
27484,28033
1628,42859
447,1764
17884,74437
1629,17887
1628,74437
5241,27484
28033,36554
447,82078
1628,17887
28033,119852
8936,36705
8936,82078
5241,36705
17887,43644
7388,19400
17884,27484
447,32181
1628,36705
7388,28033
447,28033
447,1629
1629,19400
19400,82474
9896,82078
1628,1764
5241,82078
447,36705
10995,82078
1628,10995
7388,32181
19400,119852
19400,82078
28033,36705
5241,75832
17884,36705
7388,43644
447,10667
1628,43537
5241,21067
1629,27484
10995,32181
7388,10995
8936,82474
17887,28033
447,8936
27484,42859
1628,7388
27484,74437
32181,100774
7388,8936
9896,21067
8936,17884
1629,7388
42859,119852
1629,43537
9896,27484
447,19400
5241,32181
1628,43644
19400,28033
5241,9778
1764,5241
1628,32181
27484,82474
1628,1629
17884,43644
447,43644
10995,74437
447,27484
1629,36554
5241,36554
17887,27484
17887,43537
10995,100774
27484,82078
1629,10667
1764,82078
8936,27484
447,42859
1628,17884
