Source,Target
447,9896
5241,27484
1628,9896
1764,9778
1628,36705
1628,1629
447,1628
19400,82474
1764,27421
17884,82474
1628,17887
17887,43537
1628,82474
447,19400
5241,36554
447,27484
5241,21067
1628,43537
17887,36705
447,8219
1628,25330
19400,43537
1628,1764
5360,9896
1628,36554
1764,10667
447,42859
1629,36554
10995,82078
17884,27484
10995,17884
1628,19400
447,43537
1764,5360
17884,19400
447,36705
1764,36705
1629,42859
1628,7388
1628,8219
17884,17887
19400,82078
5241,9896
1629,1764
447,82078
7388,43537
1764,117847
1629,82078
1764,82474
447,12169
1764,8219
1628,5241
5241,10995
1628,10995
17884,42859
19400,36705
9896,10667
1629,10667
5241,12169
9896,83934
27484,83933
447,27421
1628,5360
5241,36705
7388,19400
17884,36705
447,1629
8219,12169
27484,36554
17884,82078
83933,83934
10667,27484
447,9778
1764,82078
5241,27421
1628,117847
447,7388
10667,117847
5241,9778
1629,17887
5360,10667
447,5241
1629,12169
36554,42859
1629,8219
8219,10995
1764,9896
447,36554
1628,10667
1628,27484
27484,82078
5241,8219
9896,27484
5241,42859
447,1764
447,10667
1764,111667
1764,5241
5241,82078
17887,19400
447,25330
27484,83934
1628,17884
447,17887
1628,82078
9896,21067
9896,12169
9896,27421
1629,17884
9896,82078
1628,12169
447,17884
42859,82078
447,21067
1764,21067
447,10995
447,5360
5360,111667
447,82474
1628,111667
7388,10995
1764,19400
1629,5360
1629,36705
447,117847
1764,12169
