Source,Target
10995,32181
447,7388
28033,42859
17887,43644
8936,43644
19400,119852
7388,32181
19400,28033
7388,28033
5241,36554
10995,100774
7388,8936
1628,28033
447,42859
1628,19400
27484,28033
447,100774
28033,119852
8936,27484
9778,9896
32181,100774
7388,74437
1629,42859
1628,32181
1628,43644
9778,32181
7388,100774
10667,27484
447,28033
7388,19400
19400,36554
8936,17887
1628,42859
447,82078
5241,10995
27484,82078
1628,25006
5241,25006
1628,82078
17884,27484
42859,82078
1629,43644
28033,36705
7388,27484
1628,69725
1628,9778
42859,119852
5241,42859
10995,25006
19400,69725
1629,17884
17884,17887
447,9896
19400,82078
27484,82474
28033,36554
1629,19400
25006,27484
9896,82078
8936,19400
27484,83934
447,36554
1629,36554
1629,36705
19400,43537
1629,7388
1629,43537
9896,83934
447,1628
17884,74437
447,19400
7388,43537
7388,10995
1629,27484
43644,74437
447,36705
447,10995
1628,17884
17884,19400
447,69725
8936,36705
447,119852
17884,42859
7388,17887
17884,43644
8936,82078
9778,10667
10995,36554
1629,74437
28033,82078
17887,27484
8936,17884
447,9778
447,5241
19400,27484
447,74437
1629,32181
19400,36705
1628,7388
5241,32181
7388,82078
1628,43537
9896,27484
447,10667
1629,69725
447,32181
5241,19400
9778,75832
447,82474
17887,19400
17884,36705
5241,9778
447,43537
1628,36554
1628,82474
36554,42859
9778,82078
27484,74437
1628,74437
17884,119852
1629,100774
9778,19400
1628,100774
1628,9896
7388,25006
447,1629
1628,27484
447,25006
1628,17887
9896,75832
1628,10995
17887,43537
1629,10995
447,43644
25006,36554
1628,10667
10995,82078
1628,36705
17887,28033
19400,82474
8936,82474
27484,42859
447,8936
5241,36705
5241,27484
7388,17884
10995,74437
5241,69725
7388,119852
1628,5241
82078,100774
7388,36705
7388,43644
1629,5241
1628,119852
447,27484
1628,1629
1629,17887
447,17884
19400,25006
5241,82078
8936,74437
1629,82078
27484,43537
447,17887
1629,8936
1628,8936
9778,82474
10995,17884
