Source,Target
1628,1629
1629,17884
447,9896
447,12169
5360,111667
447,1764
1764,27421
1764,111667
5360,10667
1764,82474
1628,10667
5241,42859
10667,27484
1628,82474
9896,27421
17887,43537
5241,21067
1628,111667
447,10667
10995,32181
36554,42859
1628,36554
5241,36554
1764,82078
9896,10667
10995,100774
17884,36705
447,42859
1628,100774
9896,27484
1764,9778
447,27421
17887,19400
9896,82078
1629,7388
19400,82474
1628,117847
447,27484
447,17884
9896,83934
19400,43537
1628,19400
5241,27421
5241,36705
1629,12169
1628,10995
447,43537
1628,17887
1629,17887
1764,117847
1629,82078
5241,9778
17887,36705
1628,9896
19400,82078
447,21067
19400,36705
10667,117847
5360,9896
447,36705
5241,12169
17884,19400
1764,10667
32181,100774
5241,27484
447,117847
1628,17884
10995,17884
447,1628
17884,17887
1629,5360
447,9778
447,5360
1628,7388
1628,27484
1628,36705
17884,82474
447,17887
1629,42859
1629,27484
1764,32181
1764,9896
1628,5360
1628,1764
1628,12169
447,100774
447,5241
1629,36554
447,1629
1764,21067
1629,10667
7388,43537
7388,10995
1628,82078
447,10995
27484,82078
17884,82078
1628,5241
1764,12169
1629,36705
1628,32181
447,25330
447,36554
447,32181
5241,82078
17884,27484
5241,10995
27484,36554
17884,42859
82078,100774
7388,19400
447,82078
10995,82078
1764,5241
1628,25330
1629,10995
27484,83934
7388,100774
1764,19400
1764,36705
5241,32181
1628,43537
447,82474
1629,1764
5241,9896
1764,5360
447,19400
447,7388
9896,12169
9896,21067
42859,82078
