Id,Name,Label
5360,Dong Xu,CV&DB
36705,Chi Wang,DM&CV
9778,Shuicheng Yan,CV
117847,Jiebo Luo,CV&DM
100774,Hong Cheng,CV&ML&DM
27484,Jiawei Han,DM&DB
1629,Philip S. Yu,DM&DB&CV
12169,Ming-Hsuan Yang,CV
447,Qiang Yang,DM&DB
43537,Xiang Ren,DM&Sys
27421,Dong Wang,CV&DB&DM&NLP&ML
17884,Qi Li,CV&DB&DM&NLP&ML&Sys
19400,Zheng Chen,DM&NLP&ML
1764,Dacheng Tao,CV
10995,Jie Tang,DM
10667,Thomas S. Huang,CV
17887,Heng Ji,NLP
32181,Haixun Wang,DM&DB
36554,Jian Pei,DM&NLP
82474,Chao Zhang,CV&DM&NLP&ML&Sys
7388,ChengXiang Zhai,DM
21067,Bo Li,CV&DB&DM&NLP&ML&Sys
42859,Xifeng Yan,DM&DB
1628,Charu C. Aggarwal,DM
9896,Gang Wang,CV&NLP&ML&DM
75832,Ben Y. Zhao,Sys
82078,Yi-Zhou Sun,DM
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
25330,Wei Zhang,CV&DB&DM&NLP&ML&Sys
83934,Hujun Bao,CV&DB&DM
