Source,Target
1628,1629
1629,17884
447,9896
447,12169
447,1764
27484,74437
1764,82474
1628,74437
1628,10667
17884,74437
7388,8936
10667,27484
1628,82474
8936,19400
17887,43537
5241,21067
5241,42859
447,10667
36554,42859
1628,8936
1628,36554
5241,36554
1764,82078
9896,10667
10995,100774
17884,36705
8936,17884
447,42859
7388,82078
1628,100774
9896,27484
1764,9778
17887,19400
9896,82078
8936,74437
1629,7388
19400,82474
1628,117847
447,27484
447,17884
9896,83934
19400,43537
1628,19400
5241,36705
1629,12169
1628,10995
7388,74437
447,43537
1628,17887
1629,17887
1764,117847
1629,82078
5241,9778
17887,36705
1764,75832
447,8936
1628,9896
19400,82078
19400,36705
10667,117847
9896,33433
447,36705
5241,12169
17884,19400
1764,10667
5241,27484
447,74437
447,117847
1628,17884
10995,17884
447,1628
17884,17887
447,9778
5241,75832
1628,7388
1628,27484
1628,36705
447,17887
1629,42859
1629,27484
33433,82474
1764,9896
1628,1764
1628,12169
447,100774
447,5241
1629,36554
9896,75832
1764,21067
447,1629
1629,10667
8936,82474
7388,43537
7388,10995
1628,82078
447,10995
27484,82078
8936,36705
1628,5241
1764,12169
1629,36705
447,36554
5241,82078
17884,27484
5241,10995
27484,36554
17884,42859
82078,100774
75832,75833
7388,19400
1764,5241
10995,82078
447,82078
1629,10995
1628,42859
27484,83934
33433,75832
7388,100774
1764,19400
1764,36705
1764,33433
1628,43537
447,75833
447,82474
8936,82078
1629,1764
5241,9896
8936,17887
9896,75833
8936,27484
447,19400
447,7388
9896,21067
42859,82078
10995,74437
