Source,Target
447,100774
1764,9778
447,7388
17884,82474
447,117847
1629,7388
7388,100774
447,21067
1628,12169
447,27484
5241,82078
1764,82474
8219,12169
447,9778
1628,100774
1764,117847
5360,9896
447,19400
1629,5360
9896,82078
1628,19400
1628,9896
1764,5360
17884,27484
7388,82078
75832,75833
447,1628
7388,43537
447,17887
447,42859
1764,75832
1628,1764
1628,5360
447,1764
5241,8219
10667,27484
17884,74437
7388,17884
17884,17887
1628,36705
5241,36554
1629,1764
19400,43537
9896,83934
1629,12169
1628,10667
17887,19400
7388,19400
27484,82078
1628,117847
27484,36554
9896,27484
1629,10667
447,75833
1628,27484
1628,43537
36554,42859
5241,36705
1628,42859
17884,82078
1764,10667
5241,9896
5360,10667
9896,21067
1764,12169
1764,111667
27484,83934
9896,75832
5241,27484
5241,9778
17887,36705
1629,27484
5360,111667
17887,43537
1629,82078
5241,75832
447,82078
447,8219
1628,17887
1628,74437
1628,1629
447,1629
82078,100774
1628,7388
447,17884
447,5241
1628,111667
10667,117847
19400,82078
1764,36705
7388,74437
447,36554
1628,5241
447,12169
42859,82078
5241,42859
447,9896
447,5360
447,74437
19400,82474
1764,9896
447,10667
1764,21067
1628,82078
1764,82078
5241,12169
1764,19400
1764,8219
17884,36705
1764,5241
1629,36554
27484,74437
1628,17884
17884,42859
447,82474
17884,19400
5241,21067
1628,36554
447,36705
447,43537
19400,36705
1628,8219
9896,10667
