Id,Name,Label
1629,Philip S. Yu,DM&DB&CV
36705,Chi Wang,DM&CV
9896,Gang Wang,CV&NLP&ML&DM
17884,Qi Li,CV&DB&DM&NLP&ML&Sys
19400,Zheng Chen,DM&NLP&ML
74437,Jing Gao,DM
57178,Carl Yang,DM
103318,Jingbo Shang,DM&DB
10995,Jie Tang,DM
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
116400,Hongbo Deng,DM
1628,Charu C. Aggarwal,DM
100774,Hong Cheng,CV&ML&DM
9778,Shuicheng Yan,CV
75098,Lu Su,DM
43537,Xiang Ren,DM&Sys
82078,Yi-Zhou Sun,DM
82474,Chao Zhang,CV&DM&NLP&ML&Sys
39959,Bo Zhao,CV&Sys&DM
28033,Lance M. Kaplan,DM
42859,Xifeng Yan,DM&DB
36554,Jian Pei,DM&NLP
27484,Jiawei Han,DM&DB
83934,Hujun Bao,CV&DB&DM
74039,Fangbo Tao,DM
8936,Tarek Abdelzaher,DM
17887,Heng Ji,NLP
119852,Xiao Yu,DM&Sys
447,Qiang Yang,DM&DB
7388,ChengXiang Zhai,DM
