Id,Name,Label
64355,Deng Cai,DM&NLP
75833,Haitao Zheng,Sys
7388,ChengXiang Zhai,DM
100774,Hong Cheng,CV&ML&DM
111667,Jiwen Lu,CV
11667,Xinyi Zhang,Sys&DB
42859,Xifeng Yan,DM&DB
43537,Xiang Ren,DM&Sys
27484,Jiawei Han,DM&DB
10667,Thomas S. Huang,CV
36378,Lingyu Duan,CV
1764,Dacheng Tao,CV
17887,Heng Ji,NLP
82078,Yi-Zhou Sun,DM
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
82474,Chao Zhang,CV&DM&NLP&ML&Sys
40674,Wei Gao,DM&NLP&CV&ML
75832,Ben Y. Zhao,Sys
117847,Jiebo Luo,CV&DM
17157,Klara Nahrstedt,Sys
9778,Shuicheng Yan,CV
447,Qiang Yang,DM&DB
36705,Chi Wang,DM&CV
12169,Ming-Hsuan Yang,CV
19400,Zheng Chen,DM&NLP&ML
9896,Gang Wang,CV&NLP&ML&DM
83933,Guofeng Zhang,CV
71777,Jin Huang,DM&DB&NLP
83766,Weizhu Chen,DM
21067,Bo Li,CV&DB&DM&NLP&ML&Sys
27421,Dong Wang,CV&DB&DM&NLP&ML
1629,Philip S. Yu,DM&DB&CV
25330,Wei Zhang,CV&DB&DM&NLP&ML&Sys
108530,Gong Chen,Sys&DM
36554,Jian Pei,DM&NLP
5360,Dong Xu,CV&DB
8936,Tarek Abdelzaher,DM
83934,Hujun Bao,CV&DB&DM
65628,Xiao Ma,Sys&DM
1628,Charu C. Aggarwal,DM
