Id,Name,Label
8936,Tarek Abdelzaher,DM
447,Qiang Yang,DM&DB
43644,Bolin Ding,DM&DB&ML
32181,Haixun Wang,DM&DB
75832,Ben Y. Zhao,Sys
28033,Lance M. Kaplan,DM
10667,Thomas S. Huang,CV
27484,Jiawei Han,DM&DB
17884,Qi Li,CV&DB&DM&NLP&ML&Sys
82078,Yi-Zhou Sun,DM
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
100774,Hong Cheng,CV&ML&DM
69725,Ke Wang,DM&ML&CV&Sys
82474,Chao Zhang,CV&DM&NLP&ML&Sys
7388,ChengXiang Zhai,DM
9896,Gang Wang,CV&NLP&ML&DM
10995,Jie Tang,DM
19400,Zheng Chen,DM&NLP&ML
9778,Shuicheng Yan,CV
36554,Jian Pei,DM&NLP
17887,Heng Ji,NLP
36705,Chi Wang,DM&CV
1628,Charu C. Aggarwal,DM
43537,Xiang Ren,DM&Sys
25006,Jeffrey Xu Yu,DB
1629,Philip S. Yu,DM&DB&CV
83934,Hujun Bao,CV&DB&DM
42859,Xifeng Yan,DM&DB
74437,Jing Gao,DM
119852,Xiao Yu,DM&Sys
