Source,Target
1764,21067
1629,36705
8936,17887
1628,17884
7388,19400
9896,82078
7388,10995
5241,21067
5241,10995
1629,10995
5241,8219
10995,100774
1628,7388
19400,82078
1629,7388
1764,82474
27484,28033
447,17887
5241,9896
28033,36554
9896,83934
8936,17884
447,32181
447,8219
1628,36554
447,21067
447,27484
447,5241
17884,42859
1629,1764
5241,36554
9896,27484
27484,43537
10995,32181
27484,74437
447,17884
8936,74437
1628,1764
447,36705
447,1629
1629,82078
1764,9778
1628,1629
1764,10667
1628,42859
17887,43537
447,100774
17887,19400
447,8936
7388,43537
8936,19400
8936,82078
8219,10995
17887,27484
1629,17884
19400,36705
1628,36705
5241,27484
447,9778
5241,82078
1764,19400
27484,82078
1629,27484
447,9896
1629,8219
1628,5241
82078,100774
27484,82474
447,1628
447,82474
1764,82078
19400,43537
1764,75832
7388,74437
27484,83934
8936,36705
1629,42859
5241,42859
447,82078
19400,82474
10995,74437
447,10667
5241,36705
1629,36554
5241,9778
1629,10667
1628,74437
447,42859
447,10995
1628,17887
27484,36554
1628,10995
1628,82474
9896,21067
1628,8219
447,43537
1629,17887
1628,8936
1764,5241
32181,100774
17884,19400
1628,27484
5241,32181
7388,8936
10995,82078
1628,28033
10667,27484
42859,82078
1764,9896
5241,75832
17887,28033
447,19400
17884,17887
447,75833
1628,9896
1628,100774
1628,43537
17884,36705
10995,17884
36554,42859
447,7388
17884,27484
7388,100774
28033,36705
447,36554
1628,10667
447,28033
1764,32181
1628,32181
19400,28033
7388,82078
7388,28033
17884,74437
447,74437
1628,19400
75832,75833
9896,75832
8936,82474
1628,82078
8936,27484
447,1764
27484,42859
