Source,Target
1764,10667
447,17887
17887,28033
1628,25330
7388,43537
1628,10995
447,5241
1628,64355
1764,117847
1629,10995
28033,36705
447,74437
1629,17887
447,9778
5241,27484
10995,74437
5241,82078
1629,101900
9778,12169
447,42859
5241,27421
7388,74437
7388,82078
447,82474
27484,43537
1629,5241
27484,42859
9778,10667
12169,64355
447,43537
7014,58873
1628,117847
447,10995
1628,82474
25330,36378
1628,17884
28033,75098
1629,10667
12169,43537
447,12169
9896,83934
17884,75098
17887,43537
7388,8936
100774,101900
27484,82078
1764,19400
1764,27421
9896,36797
447,100774
8936,82078
447,25330
9896,10995
64355,117847
8936,17887
447,1764
7388,10995
10667,27484
17887,19400
447,27484
1628,17887
19400,36705
1628,75098
447,19400
10667,117847
17884,42859
42859,82078
1628,28033
5241,9896
447,21067
447,82078
1628,10667
1628,27484
17884,19400
1628,12169
36554,42859
8936,82474
5241,36705
7388,100774
19400,43537
17887,27484
9896,27421
27421,83766
447,1628
10995,36378
1628,36554
28033,36554
1764,83766
10995,82078
7388,28033
5241,101900
1764,9778
8936,74437
19400,82474
10667,64355
447,75098
447,1629
447,8936
1629,17884
17887,64355
27484,74437
9896,27484
1629,27484
27484,36554
447,117847
1764,82078
447,27421
17884,36705
9896,10667
8936,27484
1628,1629
82078,100774
1628,9896
1629,36378
1628,36378
9896,75832
5241,36554
1629,36554
447,83766
8936,17884
1764,64355
1628,101900
9896,21067
5241,21067
1628,43537
1628,36705
5241,75832
17884,74437
1628,19400
17884,27484
8936,19400
1764,12169
1764,36705
5241,12169
1629,42859
12169,42859
19400,82078
5241,9778
27484,28033
1629,12169
27484,82474
1628,42859
5241,42859
447,28033
447,36705
447,101900
36554,64355
1764,5241
27484,100774
1764,75832
1628,1764
1628,74437
447,17884
10995,36797
1628,82078
447,10667
7388,9778
447,9896
12169,83934
7388,19400
9896,12169
1629,7388
8936,75098
1628,5241
447,7388
8936,36705
19400,28033
27484,83934
1629,36705
12169,27484
17884,17887
1628,7388
447,36554
1764,36378
1628,8936
1764,82474
1629,82078
1764,21067
10995,100774
10995,17884
5241,10995
27484,64355
1764,25330
9896,82078
1764,9896
1628,100774
1629,1764
36378,36797
