Source,Target
1628,74437
17887,19400
27484,74437
17884,74437
5241,39959
9896,27484
5241,36705
17884,27484
9896,83934
17887,27484
1628,116400
19400,82078
1628,9778
7388,17884
1628,82078
17884,75098
9778,39959
8936,27484
9778,9896
28033,42859
10995,100774
447,36554
17887,116400
5241,9778
8936,82078
447,9896
42859,82078
1628,8936
19400,103318
447,17887
27484,82474
17884,119852
1628,39959
27484,83934
7388,17887
17884,42859
17887,28033
39959,75098
17884,17887
1629,8936
447,43537
17884,116400
28033,43537
1628,10995
7388,103318
8936,17887
1628,27484
1628,28033
9778,82078
27484,39959
19400,43537
9778,17884
9778,17887
447,82078
7388,116400
5241,10995
447,116400
27484,43537
1628,75098
9778,10995
10995,74437
28033,36705
1628,42859
82078,100774
447,42859
447,75098
27484,42859
7388,36705
28033,82078
447,74437
1628,100774
7388,39959
17884,82474
1628,5241
447,9778
5241,82078
1629,17887
17884,19400
57178,82474
447,5241
8936,36705
1629,82078
7388,74039
1628,74039
447,17884
9896,82078
1629,19400
1628,9896
17887,43537
1629,17884
9778,82474
9778,57178
7388,57178
17884,103318
1628,119852
447,27484
7388,82474
1629,74437
27484,28033
1629,36705
17884,74039
5241,42859
447,36705
17884,39959
1628,7388
447,57178
36554,42859
28033,119852
447,7388
1628,1629
7388,82078
1629,74039
19400,82474
1628,36705
1629,7388
27484,82078
28033,39959
8936,82474
447,100774
1629,36554
17884,28033
1628,17884
447,10995
1629,10995
1629,43537
9778,19400
17884,82078
27484,36554
43537,103318
8936,19400
1629,27484
5241,36554
447,19400
28033,36554
28033,103318
7388,43537
7388,27484
447,82474
447,119852
10995,17884
8936,17884
7388,119852
1628,43537
1628,36554
7388,74437
1628,103318
7388,100774
8936,116400
1628,19400
447,1628
7388,9778
447,28033
19400,28033
1628,57178
8936,75098
42859,119852
7388,8936
17884,36705
1629,39959
447,1629
19400,36705
5241,27484
17887,74039
1628,17887
19400,119852
447,8936
1629,42859
447,74039
7388,10995
7388,28033
8936,74437
28033,75098
7388,19400
9778,74437
10995,82078
1628,82474
