Source,Target
447,1628
447,7388
1629,12169
1629,17884
1628,117847
447,27421
5241,9778
1764,82078
1629,17887
447,8219
1764,5241
17887,43537
7388,82078
1628,10995
19400,82078
1764,8219
27484,36554
7388,43537
1629,10667
1628,82078
17884,27484
5241,36705
82078,100774
447,10667
17884,82078
447,100774
9896,21067
1628,10667
5241,36554
17884,82474
1629,27484
447,12169
1628,100774
1764,32181
1764,10667
1764,36705
447,82078
1764,117847
447,10995
17884,74437
1628,9896
447,32181
5241,42859
17884,36705
447,36554
1764,82474
27484,82078
5241,27484
1628,8219
1764,21067
1628,1629
7388,74437
447,43537
1628,12169
1629,10995
447,117847
1764,19400
10667,27484
19400,36705
32181,100774
7388,100774
5360,9896
1628,17887
5241,8219
1629,5360
1628,43537
447,74437
447,27484
1628,36705
1628,19400
447,1764
447,82474
10995,100774
10995,17884
1629,36705
5241,82078
447,36705
10995,32181
1628,5241
447,21067
9896,27484
7388,10995
9896,10667
447,17884
5241,9896
447,19400
1628,32181
9896,27421
1764,12169
1628,36554
17884,42859
1629,36554
17884,19400
27484,74437
5241,32181
447,5241
1628,5360
1628,42859
1629,1764
1764,9896
8219,12169
1628,1764
7388,19400
447,9896
1764,27421
1628,17884
5241,10995
1628,7388
447,42859
1629,42859
447,1629
9896,83934
447,17887
17884,17887
9896,82078
1629,8219
9896,12169
10667,117847
5241,21067
5241,27421
19400,43537
1764,5360
42859,82078
36554,42859
8219,10995
1628,74437
10995,74437
447,5360
1629,82078
1628,27484
17887,19400
10995,82078
27484,83934
447,9778
1629,7388
19400,82474
1764,9778
17887,36705
5241,12169
