Source,Target
5241,32181
447,9896
7388,74437
17887,27484
5241,27484
1628,42859
8936,82474
7388,17887
1629,27484
1628,9896
1764,9778
1629,8936
27484,64355
7388,27484
1628,36705
447,8936
7388,100774
1628,1629
447,1628
17887,43644
19400,82474
1628,17887
1629,7388
17887,43537
17887,28033
1628,82474
447,19400
5241,36554
447,27484
1628,43537
27484,43537
19400,43537
1628,1764
1628,36554
28033,36705
1764,57178
8936,27484
1764,10667
1628,64355
32181,100774
8936,43644
447,42859
10995,100774
1629,36554
10995,82078
1764,32181
17884,27484
10995,17884
1628,19400
447,43537
17884,19400
447,36705
1629,42859
1628,7388
7388,17884
19400,119852
36554,64355
447,57178
17884,17887
19400,82078
8936,36705
447,119852
1629,1764
1628,57178
447,82078
1629,43537
7388,43537
1629,82078
447,74437
1764,82474
447,32181
42859,119852
1628,5241
17887,64355
1628,28033
5241,10995
1628,10995
7388,8936
19400,36705
17884,42859
1629,10667
447,100774
8936,17884
28033,82078
9896,83934
1629,10995
7388,43644
447,28033
17884,43644
9778,10667
10995,74437
5241,36705
1628,74437
7388,19400
17884,36705
447,1629
9778,27484
1628,119852
27484,36554
10667,27484
7388,9778
7388,82078
27484,28033
447,9778
7388,57178
8936,19400
1764,82078
447,7388
7388,28033
5241,9778
1629,17887
447,5241
7388,36705
19400,28033
36554,42859
7388,32181
8936,17887
1629,74437
1764,9896
27484,82474
447,36554
1628,10667
82078,100774
1628,27484
27484,82078
28033,42859
9896,27484
5241,42859
447,1764
447,10667
1628,8936
1764,5241
1628,100774
5241,82078
17887,19400
27484,83934
17884,119852
1628,17884
447,17887
1628,32181
1628,82078
1629,17884
1628,43644
9896,82078
447,17884
1764,64355
28033,36554
42859,82078
28033,119852
447,10995
27484,74437
10995,32181
447,82474
8936,74437
447,43644
7388,119852
7388,10995
1764,19400
1629,36705
27484,42859
1629,19400
57178,82474
8936,82078
43644,74437
17884,74437
