Source,Target
17887,74039
19400,119852
1628,1629
1629,17884
1628,39959
447,9896
28033,103318
27484,74437
27484,82474
19400,28033
1628,74437
17884,74437
7388,8936
1628,82474
5241,42859
8936,19400
17887,43537
9778,43644
17884,43644
17884,74039
28033,42859
447,74039
10995,32181
36554,42859
1628,8936
28033,36705
7388,17887
7388,75098
1628,36554
447,119852
1628,43644
5241,36554
42859,119852
27484,28033
19400,103318
10995,100774
28033,82078
17884,36705
8936,17884
9778,74437
447,42859
7388,82078
1628,100774
27484,42859
7388,82474
17884,75098
9896,27484
1629,74039
17884,103318
17887,19400
17884,28033
9896,82078
8936,74437
1629,7388
19400,82474
9778,9896
27484,43537
28033,75098
7388,74039
17887,27484
447,27484
1628,119852
447,17884
9896,83934
19400,43537
1628,19400
28033,36554
5241,36705
7388,43644
1628,10995
7388,74437
447,43537
1628,17887
1629,17887
5241,9778
9778,82474
1629,82078
17884,119852
447,8936
1628,9896
447,75098
19400,82078
19400,36705
1628,103318
17887,28033
17887,43644
7388,32181
447,36705
9778,17887
5241,39959
17884,19400
32181,100774
5241,27484
447,74437
39959,75098
8936,75098
1628,17884
43537,103318
7388,9778
447,1628
17884,17887
447,43644
10995,17884
447,9778
8936,43644
1628,75098
1628,7388
1628,27484
1629,19400
1628,36705
17884,82474
447,17887
1628,74039
27484,39959
1629,42859
1629,27484
28033,119852
1628,28033
9778,17884
447,100774
447,5241
9778,39959
7388,39959
1629,36554
447,1629
1629,74437
9778,32181
7388,43537
8936,82474
7388,10995
447,28033
1628,82078
447,10995
17884,82078
27484,82078
8936,36705
1628,5241
1629,36705
1628,32181
447,36554
447,32181
5241,82078
17884,27484
17884,39959
9778,82078
7388,119852
5241,10995
27484,36554
17884,42859
1629,8936
1629,43537
82078,100774
7388,19400
9778,10995
447,82078
10995,82078
9778,19400
1629,10995
1628,42859
27484,83934
1629,39959
7388,100774
7388,28033
28033,39959
5241,32181
1628,43537
7388,103318
447,82474
7388,36705
8936,82078
8936,17887
7388,27484
28033,43537
8936,27484
447,19400
447,7388
42859,82078
7388,17884
10995,74437
43644,74437
1628,9778
