Source,Target
1764,10667
447,17887
17887,28033
7388,43537
1628,10995
447,5241
1764,61791
7194,8936
1629,10995
28033,36705
447,74437
1629,17887
447,9778
10995,19400
5241,27484
10995,74437
5241,82078
1629,101900
447,42859
7775,21067
7388,74437
7388,82078
7775,27484
447,82474
27484,43537
1629,5241
27484,42859
447,43537
32181,100774
447,10995
1628,10953
1628,82474
447,10953
1628,17884
28033,75098
1629,10667
447,12169
9896,83934
1764,57408
17884,75098
17887,43537
7388,8936
100774,101900
27484,82078
1764,19400
7775,32181
10995,84162
10667,36554
7194,82474
447,100774
8936,82078
9896,10995
8936,17887
447,1764
7388,10995
10667,27484
447,27484
1628,17887
5241,7775
1628,75098
447,19400
17884,42859
42859,82078
1628,28033
9896,61791
5241,9896
1628,10667
447,82078
1628,27484
17884,19400
1628,12169
36554,42859
8936,82474
75832,75833
5241,36705
7388,100774
19400,43537
17887,27484
1764,32181
447,1628
1628,36554
28033,36554
10995,82078
7388,28033
5241,101900
1764,9778
8936,74437
7775,75832
447,75098
447,1629
447,8936
1629,17884
27484,74437
9896,27484
1629,27484
27484,36554
7194,28033
1628,32181
1764,82078
17884,36705
7194,36705
1628,1629
1628,9896
82078,100774
8936,27484
1629,36378
9896,75832
5241,36554
1629,36554
8936,17884
1628,101900
1764,84162
9896,21067
7194,17884
5241,21067
1628,43537
1628,36705
5241,32181
5241,75832
17884,74437
7775,83934
1628,19400
447,7194
17884,27484
8936,19400
1764,12169
5241,12169
1629,42859
447,84162
5241,9778
27484,28033
7194,43537
1629,12169
27484,82474
447,32181
10995,32181
447,75833
1628,42859
5241,42859
447,28033
447,36705
447,101900
1764,5241
27484,100774
1764,75832
1628,1764
1628,74437
447,17884
1628,82078
7194,19400
447,10667
9778,9896
447,9896
7388,19400
9896,12169
7775,9896
1629,7388
8936,75098
1628,5241
447,7388
8936,36705
27484,83934
1629,36705
7194,17887
1628,7388
17884,17887
447,36554
1764,36378
1628,8936
1764,82474
9896,57408
1629,82078
1764,21067
10995,100774
7194,82078
10995,17884
5241,10995
7194,27484
10667,10953
1628,7775
1764,9896
1628,100774
9896,82078
1629,1764
