Id,Name,Label
8936,Tarek Abdelzaher,DM
447,Qiang Yang,DM&DB
25330,Wei Zhang,CV&DB&DM&NLP&ML&Sys
75832,Ben Y. Zhao,Sys
1764,Dacheng Tao,CV
28033,Lance M. Kaplan,DM
10667,Thomas S. Huang,CV
17884,Qi Li,CV&DB&DM&NLP&ML&Sys
27484,Jiawei Han,DM&DB
82078,Yi-Zhou Sun,DM
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
100774,Hong Cheng,CV&ML&DM
27421,Dong Wang,CV&DB&DM&NLP&ML
82474,Chao Zhang,CV&DM&NLP&ML&Sys
7388,ChengXiang Zhai,DM
9896,Gang Wang,CV&NLP&ML&DM
10995,Jie Tang,DM
19400,Zheng Chen,DM&NLP&ML
9778,Shuicheng Yan,CV
36554,Jian Pei,DM&NLP
36705,Chi Wang,DM&CV
17887,Heng Ji,NLP
21067,Bo Li,CV&DB&DM&NLP&ML&Sys
1628,Charu C. Aggarwal,DM
43537,Xiang Ren,DM&Sys
12169,Ming-Hsuan Yang,CV
1629,Philip S. Yu,DM&DB&CV
83934,Hujun Bao,CV&DB&DM
42859,Xifeng Yan,DM&DB
74437,Jing Gao,DM
