Id,Name,Label
17884,Qi Li,CV&DB&DM&NLP&ML&Sys
117847,Jiebo Luo,CV&DM
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
1628,Charu C. Aggarwal,DM
100774,Hong Cheng,CV&ML&DM
8219,Fei Wang,CV&DB&DM&ML&Sys
19400,Zheng Chen,DM&NLP&ML
17887,Heng Ji,NLP
43537,Xiang Ren,DM&Sys
82474,Chao Zhang,CV&DM&NLP&ML&Sys
83934,Hujun Bao,CV&DB&DM
1629,Philip S. Yu,DM&DB&CV
36554,Jian Pei,DM&NLP
9778,Shuicheng Yan,CV
27484,Jiawei Han,DM&DB
9896,Gang Wang,CV&NLP&ML&DM
12169,Ming-Hsuan Yang,CV
74437,Jing Gao,DM
10667,Thomas S. Huang,CV
7388,ChengXiang Zhai,DM
1764,Dacheng Tao,CV
82078,Yi-Zhou Sun,DM
27421,Dong Wang,CV&DB&DM&NLP&ML
42859,Xifeng Yan,DM&DB
32181,Haixun Wang,DM&DB
21067,Bo Li,CV&DB&DM&NLP&ML&Sys
36705,Chi Wang,DM&CV
5360,Dong Xu,CV&DB
447,Qiang Yang,DM&DB
10995,Jie Tang,DM
