Id,Name,Label
75833,Haitao Zheng,Sys
7775,Yan Chen,CV&DB&DM&NLP&Sys
57408,Jia-Bin Huang,CV
17884,Qi Li,CV&DB&DM&NLP&ML&Sys
10953,Tong Zhang,CV&DM&NLP&ML&Sys
100774,Hong Cheng,CV&ML&DM
10995,Jie Tang,DM
42859,Xifeng Yan,DM&DB
43537,Xiang Ren,DM&Sys
27484,Jiawei Han,DM&DB
10667,Thomas S. Huang,CV
36378,Lingyu Duan,CV
1764,Dacheng Tao,CV
17887,Heng Ji,NLP
82078,Yi-Zhou Sun,DM
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
82474,Chao Zhang,CV&DM&NLP&ML&Sys
75098,Lu Su,DM
101900,Tianyi Wu,DM&DB
84162,Gui-Rong Xue,DM&ML
52869,Roopnath Grandhi,DM
7194,Craig Knoblock,DB
75832,Ben Y. Zhao,Sys
447,Qiang Yang,DM&DB
9778,Shuicheng Yan,CV
36705,Chi Wang,DM&CV
12169,Ming-Hsuan Yang,CV
19400,Zheng Chen,DM&NLP&ML
9896,Gang Wang,CV&NLP&ML&DM
21067,Bo Li,CV&DB&DM&NLP&ML&Sys
61791,Yuqiang Fang,DM&CV
74437,Jing Gao,DM
1629,Philip S. Yu,DM&DB&CV
28033,Lance M. Kaplan,DM
32181,Haixun Wang,DM&DB
36554,Jian Pei,DM&NLP
8936,Tarek Abdelzaher,DM
83934,Hujun Bao,CV&DB&DM
7388,ChengXiang Zhai,DM
1628,Charu C. Aggarwal,DM
