Source,Target
1764,10667
447,17887
1628,25330
9896,40674
9896,11667
27484,36705
447,5241
1628,64355
1764,117847
11667,75832
447,9778
5241,27484
5360,111667
5241,82078
9778,12169
447,42859
5241,27421
447,82474
9778,10667
447,108530
12169,64355
447,43537
1628,117847
9896,75833
1764,111667
8936,17157
1628,82474
1628,5360
25330,36378
1629,10667
12169,43537
447,12169
9896,83934
17887,43537
17887,82078
27484,82078
1764,19400
1764,27421
1628,17157
447,100774
27484,40674
8936,82078
447,25330
1629,8936
1628,65628
64355,117847
8936,17887
27484,108530
447,1764
10667,27484
17887,19400
447,27484
1628,17887
19400,36705
71777,83933
447,19400
10667,117847
17887,42859
42859,82078
5241,9896
447,21067
447,82078
1628,10667
1628,27484
1628,12169
36554,42859
1764,5360
8936,82474
75832,75833
5241,36705
5360,36378
7388,100774
19400,43537
9896,27421
17887,27484
27421,83766
447,1628
1628,36554
1764,83766
1764,9778
19400,82474
10667,64355
447,1629
447,8936
17887,64355
9896,27484
1629,27484
27484,36554
27484,71777
5360,10667
447,117847
1764,82078
447,27421
9896,10667
8936,27484
1628,9896
82078,100774
1628,1629
1629,36378
1628,36378
9896,75832
5241,36554
27484,83933
1629,36554
5360,9896
447,83766
1764,64355
9896,21067
5241,21067
1628,43537
1628,36705
5241,75832
71777,83934
1628,19400
8936,19400
1764,12169
1764,36705
5241,12169
12169,42859
19400,82078
1628,111667
5241,9778
447,5360
1629,12169
447,75833
7388,17887
5241,42859
447,36705
5241,40674
36554,64355
1764,5241
1764,75832
27484,100774
1628,1764
1628,82078
447,10667
7388,9778
447,9896
12169,83934
7388,19400
9896,12169
1629,7388
1629,5360
1628,5241
447,7388
8936,36705
27484,83934
12169,27484
1629,65628
1628,7388
1764,11667
447,36554
1764,36378
1764,82474
1628,8936
17887,36705
7388,108530
1629,82078
1764,21067
27484,64355
1764,25330
9896,82078
1764,9896
27484,65628
1628,100774
1629,1764
