Source,Target
1764,5360
9896,10667
1764,8219
1764,21067
7388,19400
9896,82078
25006,36554
5241,21067
5241,8219
1628,7388
19400,82078
1629,7388
1764,82474
447,17887
5241,9896
9896,83934
447,32181
447,8219
1628,36554
447,21067
1628,111667
447,27484
1628,117847
447,5241
1629,1764
5360,9896
9896,27421
5241,36554
9896,27484
1628,1764
447,36705
447,1629
1764,9778
1628,1629
1764,10667
5241,12169
447,117847
1629,12169
17887,43537
447,100774
1629,5360
1764,111667
17887,82078
17887,19400
5360,10667
17887,27484
19400,36705
1628,36705
1764,36705
5241,27484
447,9778
1628,5360
5241,82078
1764,12169
1764,19400
5360,111667
27484,82078
1629,27484
447,27421
1628,25330
447,9896
1628,5241
82078,100774
447,1628
447,82474
1764,82078
19400,43537
27484,83934
5241,27421
5241,42859
447,82078
1764,27421
19400,82474
447,25006
5241,25006
447,10667
5241,36705
1629,100774
1629,32181
1629,36554
5241,9778
1629,10667
447,5360
447,42859
1764,117847
1628,17887
27484,36554
1628,82474
9896,21067
1628,8219
447,43537
8219,12169
1764,5241
32181,100774
1628,27484
17887,36705
5241,32181
10667,27484
1629,5241
42859,82078
1764,9896
1628,25006
10667,117847
447,19400
1628,12169
1628,9896
1628,100774
1628,43537
36554,42859
447,7388
447,12169
7388,100774
1629,25006
25006,27484
447,36554
1628,10667
32181,82078
1764,32181
1628,32181
1628,19400
1628,82078
17887,82474
447,1764
447,25330
7388,17887
17887,42859
9896,12169
