Id,Name,Label
32181,Haixun Wang,DM&DB
9778,Shuicheng Yan,CV
9896,Gang Wang,CV&NLP&ML&DM
36554,Jian Pei,DM&NLP
83934,Hujun Bao,CV&DB&DM
21067,Bo Li,CV&DB&DM&NLP&ML&Sys
8936,Tarek Abdelzaher,DM
1629,Philip S. Yu,DM&DB&CV
1628,Charu C. Aggarwal,DM
82474,Chao Zhang,CV&DM&NLP&ML&Sys
1764,Dacheng Tao,CV
43644,Bolin Ding,DM&DB&ML
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
36705,Chi Wang,DM&CV
74437,Jing Gao,DM
17887,Heng Ji,NLP
17884,Qi Li,CV&DB&DM&NLP&ML&Sys
42859,Xifeng Yan,DM&DB
10995,Jie Tang,DM
447,Qiang Yang,DM&DB
19400,Zheng Chen,DM&NLP&ML
100774,Hong Cheng,CV&ML&DM
28033,Lance M. Kaplan,DM
7388,ChengXiang Zhai,DM
119852,Xiao Yu,DM&Sys
43537,Xiang Ren,DM&Sys
82078,Yi-Zhou Sun,DM
75832,Ben Y. Zhao,Sys
10667,Thomas S. Huang,CV
27484,Jiawei Han,DM&DB
