Id,Name,Label
111667,Jiwen Lu,CV
43537,Xiang Ren,DM&Sys
10667,Thomas S. Huang,CV
5360,Dong Xu,CV&DB
9778,Shuicheng Yan,CV
7388,ChengXiang Zhai,DM
82078,Yi-Zhou Sun,DM
1629,Philip S. Yu,DM&DB&CV
447,Qiang Yang,DM&DB
83934,Hujun Bao,CV&DB&DM
36554,Jian Pei,DM&NLP
17887,Heng Ji,NLP
82474,Chao Zhang,CV&DM&NLP&ML&Sys
27484,Jiawei Han,DM&DB
42859,Xifeng Yan,DM&DB
9896,Gang Wang,CV&NLP&ML&DM
74437,Jing Gao,DM
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
75833,Haitao Zheng,Sys
21067,Bo Li,CV&DB&DM&NLP&ML&Sys
1628,Charu C. Aggarwal,DM
117847,Jiebo Luo,CV&DM
12169,Ming-Hsuan Yang,CV
100774,Hong Cheng,CV&ML&DM
19400,Zheng Chen,DM&NLP&ML
36705,Chi Wang,DM&CV
17884,Qi Li,CV&DB&DM&NLP&ML&Sys
75832,Ben Y. Zhao,Sys
8219,Fei Wang,CV&DB&DM&ML&Sys
1764,Dacheng Tao,CV
