Id,Name,Label
10667,Thomas S. Huang,CV
74437,Jing Gao,DM
21067,Bo Li,CV&DB&DM&NLP&ML&Sys
1629,Philip S. Yu,DM&DB&CV
17884,Qi Li,CV&DB&DM&NLP&ML&Sys
36705,Chi Wang,DM&CV
1764,Dacheng Tao,CV
75832,Ben Y. Zhao,Sys
10995,Jie Tang,DM
8936,Tarek Abdelzaher,DM
42859,Xifeng Yan,DM&DB
9778,Shuicheng Yan,CV
75833,Haitao Zheng,Sys
19400,Zheng Chen,DM&NLP&ML
82474,Chao Zhang,CV&DM&NLP&ML&Sys
447,Qiang Yang,DM&DB
36554,Jian Pei,DM&NLP
27484,Jiawei Han,DM&DB
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
83934,Hujun Bao,CV&DB&DM
1628,Charu C. Aggarwal,DM
7388,ChengXiang Zhai,DM
117847,Jiebo Luo,CV&DM
33433,Yong Li,CV&DB&DM&ML&Sys
43537,Xiang Ren,DM&Sys
9896,Gang Wang,CV&NLP&ML&DM
12169,Ming-Hsuan Yang,CV
100774,Hong Cheng,CV&ML&DM
17887,Heng Ji,NLP
82078,Yi-Zhou Sun,DM
