Id,Name,Label
16991,Dan Roth,NLP
43537,Xiang Ren,DM&Sys
10667,Thomas S. Huang,CV
27484,Jiawei Han,DM&DB
36705,Chi Wang,DM&CV
1629,Philip S. Yu,DM&DB&CV
1628,Charu C. Aggarwal,DM
17884,Qi Li,CV&DB&DM&NLP&ML&Sys
28033,Lance M. Kaplan,DM
9778,Shuicheng Yan,CV
17887,Heng Ji,NLP
36554,Jian Pei,DM&NLP
447,Qiang Yang,DM&DB
10995,Jie Tang,DM
42859,Xifeng Yan,DM&DB
21067,Bo Li,CV&DB&DM&NLP&ML&Sys
1764,Dacheng Tao,CV
12169,Ming-Hsuan Yang,CV
37425,Shih-Fu Chang,CV&Sys
27421,Dong Wang,CV&DB&DM&NLP&ML
19400,Zheng Chen,DM&NLP&ML
82078,Yi-Zhou Sun,DM
9896,Gang Wang,CV&NLP&ML&DM
100774,Hong Cheng,CV&ML&DM
5241,Wei Wang,CV&DB&DM&NLP&ML&Sys
82474,Chao Zhang,CV&DM&NLP&ML&Sys
25330,Wei Zhang,CV&DB&DM&NLP&ML&Sys
83934,Hujun Bao,CV&DB&DM
7388,ChengXiang Zhai,DM
50890,Clare R. Voss,NLP
