Source,Target
447,43644
1628,7388
8936,36705
8936,82078
27484,83934
9896,27421
7388,25006
1629,7388
1628,17887
1629,32181
17884,36705
447,9778
447,100774
1764,27421
1629,27484
447,36705
5241,27484
1628,32181
1628,19400
1628,36554
9896,82078
447,82474
447,42859
10995,36554
25006,27484
19400,82474
1628,82474
8936,19400
447,43537
447,9896
17884,17887
1628,8936
1628,25006
8936,43644
17884,42859
1764,10667
447,19400
1629,17884
447,7388
1628,10667
8936,17884
10995,25006
19400,82078
447,17887
1629,100774
1628,1629
447,36554
1764,32181
25006,36554
447,82078
447,10995
1628,5241
5241,9778
1764,19400
447,25330
1764,12169
5241,27421
17887,43644
17884,43644
5241,32181
1629,12169
1628,1764
17884,19400
8936,27484
7388,43537
1629,17887
7388,8936
7388,100774
1629,1764
5241,25006
5241,36554
1628,10995
1764,9896
447,27421
1628,43537
8936,17887
1629,10667
42859,82078
10995,82078
1628,17884
5241,36705
7388,32181
10667,27484
17887,19400
10995,32181
1629,43644
9896,21067
1628,27484
1764,5241
10995,17884
1629,82078
1628,82078
9896,12169
1629,42859
7388,17884
447,25006
27484,36554
7388,10995
8936,82474
1764,21067
19400,36705
10995,100774
1629,10995
27484,82078
1628,12169
447,17884
17887,36705
19400,43537
1629,5241
1628,36705
447,10667
1764,82078
5241,21067
447,1628
9896,83934
5241,10995
447,27484
5241,42859
7388,19400
447,5241
17887,43537
5241,12169
5241,9896
447,8936
447,21067
17884,27484
7388,17887
1628,25330
32181,100774
1628,100774
447,1764
7388,43644
447,32181
1764,82474
1764,9778
9896,27484
447,1629
36554,42859
5241,82078
1629,36554
7388,27484
1628,43644
447,12169
1629,36705
82078,100774
1628,9896
7388,36705
